"","pdcomnam","decade","season","meansw","num_tows","variance","cv","prey","totwt","relmsw","ci","relci"
"1","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"AMMOSP",0.480586475830585,0,0,0
"2","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"BRETYR",0.480586475830585,0,0,0
"3","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"BRYOZO",0.480586475830585,0,0,0
"4","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CAPFA1",0.480586475830585,0,0,0
"5","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CENSTR",0.480586475830585,0,0,0
"6","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CEPCHO",0.480586475830585,0,0,0
"7","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CEPHAL",0.480586475830585,0,0,0
"8","ATLANTIC HERRING","1970s","SPRING",0.0964431851394797,11,0.00903396910201079,0.985525249296409,"CHAETO",0.480586475830585,20.0678108914321,0.0573156145693167,11.9261813329765
"9","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CIRRIP",0.480586475830585,0,0,0
"10","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CLUFAM",0.480586475830585,0,0,0
"11","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CLUHAR",0.480586475830585,0,0,0
"12","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"AMPHIP",0.480586475830585,0,0,0
"13","ATLANTIC HERRING","1970s","SPRING",0.072446325040171,11,0.00263491996691439,0.708544863759242,"COPEPO",0.480586475830585,15.0745659071999,0.0309540419855242,6.44088910992078
"14","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CRAFAM",0.480586475830585,0,0,0
"15","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CRUEGG",0.480586475830585,0,0,0
"16","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CRULAR",0.480586475830585,0,0,0
"17","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CRUSHR",0.480586475830585,0,0,0
"18","ATLANTIC HERRING","1970s","SPRING",0.00688679245283019,11,4.593090236818e-05,0.984091530298573,"CRUSTA",0.480586475830585,1.43299755593994,0.00408682594634294,0.850383053180966
"19","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CTENOP",0.480586475830585,0,0,0
"20","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CUMACE",0.480586475830585,0,0,0
"21","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"CYCFAM",0.480586475830585,0,0,0
"22","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"DECAPO",0.480586475830585,0,0,0
"23","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"ANALUP",0.480586475830585,0,0,0
"24","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"DECCRA",0.480586475830585,0,0,0
"25","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"DECLAR",0.480586475830585,0,0,0
"26","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"DECSHR",0.480586475830585,0,0,0
"27","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"ECHIN1",0.480586475830585,0,0,0
"28","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"EMPTY",0.480586475830585,0,0,0
"29","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"ENGFAM",0.480586475830585,0,0,0
"30","ATLANTIC HERRING","1970s","SPRING",0.232469251962319,11,0.0341702699296415,0.795167619579434,"EUPFAM",0.480586475830585,48.3719920666823,0.111469963226368,23.1945693090338
"31","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"FISEGG",0.480586475830585,0,0,0
"32","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"FISLAR",0.480586475830585,0,0,0
"33","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"FISSCA",0.480586475830585,0,0,0
"34","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"ANCMIT",0.480586475830585,0,0,0
"35","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"GADFAM",0.480586475830585,0,0,0
"36","ATLANTIC HERRING","1970s","SPRING",0,11,0,0,"GADORD",0.480586475830585,0,0,0
