Year,Working group,"""New"" subgroup",Report Section,Priority,Request,Source,Status,Progress,Progress-detailed,Memo Order,Products/ things to work on,New Data opportunities,Notes,Actions
2019,Human dimension,,MAFMC Risk Assessment,2,Management complexity,MAFMC,In progress,"Student work needs further analysis, no further work this year","in progress; student work needs further analysis, no further work in 2020",23,Complete current project ,Summer student project last year,,
2019,LTL/Climate/Habitat,Ecosystem productiivty,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Shellfish growth/distribution linked to climate (system productivity),MAFMC,In progress,Project with A. Hollander,in progress; project with R Mann student to start 2021,21,Heat wave stuff (Vince),(Roger Mann VIMS data Contribution),,
2019,LTL/Climate/Habitat,,Economic and Social (new section Other Ocean Uses?),3,Estuarine condition relative to power plants and temp,MAFMC,Not started,Lacking resources this year,unable to start in 2020,29,,"(McKinney 2010, Kim Hyde also on this paper)",,
2019,Megafauna,,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,1,Avg weight of diet components by feeding group,Internal,In progress,Part of fish condition project,in progress; part of fish condition,19,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,"If jellies show up as fluctuating, could be a place to link abundance time series in",
2019,Megafauna,,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Mean stomach weight across feeding guilds,MAFMC,In progress,Intern evaluated trends in guild diets,in progress; stomach fullness analysis started--species level,20,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,,
2019,Megafauna,,Fish and Invertebrates,3,Young of Year index from multiple surveys,MAFMC,Not started,Lacking resources this year,unable to start in 2020,27,,Bigelow + NEAMAP + CHESMAP/other state surveys? + seabirds?,Evaluate resources to do,
2019,Methods/Thresholds,,All,1,Inflection points for indicators,Both Councils,In progress,Evaluating empirical thresholds,unable to start in 2020,30,Determining thresholds,All datasets,,
2020,All,,Social link to Environment,1,Linking Condition ,MAFMC,In progress,Not ready for 2022,in progress; not ready for 2021,18,,,"length/weight at age, gaussian network model blue crab example, SEM",
2020,All,,All,,Re-evaluate EPUs,NEFMC,Not started,Lacking resources this year,unable to start in 2020,33,,,Determine thresholds for re-evaluation. ,
2020,Human Dimension,,Social link to Environment,,Incorporate social sciences survey from council,NEFMC,Not started,Lacking resources this year,unable to start in 2020,26,First step will be to crosswalk indicators with priority concerns expressed,,,
2020,Human Dimensions & LTL/Climate/Habitat,Climate risks,Social link to Environment,,Cumulative weather index,MAFMC,In progress,Data gathered for prototype,in progress; data gathered for prototype,22,,,"Explore reduced rec effort/harvest
Should retain a list of anomolous events, large storms (I.e. tropical storms), heatwaves, etc.  Maybe we need to work with the NOAA Eastern Region Climate Services that creates the regional climate reports.",
2020,Megafauna,,Fish and invertabrates,,VAST and uncertainty ,Both Councils,In progress,Not ready for 2022,in progress; not ready for 2021,24,,,Include both VAST and current indicator,
2020,Megafauna,,Protected Species,,Seal index,MAFMC,In progress,Not ready for 2022,in progress; not ready for 2021,25,,,indices of impact and temporal trends,
2020,Megafauna,,Fish and Invertabrates,,Biomass of spp not included in BTS,MAFMC,Not started,Lacking resources this year,unable to start in 2020,28,,,,
2020,Methods/Multivariate,,All,,Reduce indicator dimensionality with multivariate statistics,NEFMC,Not started,Lacking resources this year,unable to start in 2020,31,,,,
2020,Methods/Thresholds,,All,,Breakpoints,NEFMC,In progress,Evaluating empirical thresholds,unable to start in 2020,32,,,Explore breakpoints with time lags (SEM?),
